timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793223471,110,Post Request,200,OK,Endurance Test 1-19,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793224637,483,Gets all users,200,OK,Endurance Test 1-20,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,483,0,373
1670793225120,109,Delete Request,200,OK,Endurance Test 1-20,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793225229,108,Get by ID Request,200,OK,Endurance Test 1-20,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793225338,110,Put Request,200,OK,Endurance Test 1-20,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793225448,110,Post Request,200,OK,Endurance Test 1-20,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793226653,554,Gets all users,200,OK,Endurance Test 1-21,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,554,0,441
1670793227207,112,Delete Request,200,OK,Endurance Test 1-21,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793227319,111,Get by ID Request,200,OK,Endurance Test 1-21,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793227431,111,Put Request,200,OK,Endurance Test 1-21,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793227542,112,Post Request,200,OK,Endurance Test 1-21,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,112,0,0
1670793228615,529,Gets all users,200,OK,Endurance Test 1-22,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,529,0,413
1670793229145,113,Delete Request,200,OK,Endurance Test 1-22,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,113,0,0
1670793229275,111,Get by ID Request,200,OK,Endurance Test 1-22,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793229386,115,Put Request,200,OK,Endurance Test 1-22,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,115,0,0
1670793229502,118,Post Request,200,OK,Endurance Test 1-22,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,117,0,0
1670793230616,498,Gets all users,200,OK,Endurance Test 1-23,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,498,0,376
1670793231115,109,Delete Request,200,OK,Endurance Test 1-23,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793231225,429,Get by ID Request,200,OK,Endurance Test 1-23,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,429,0,0
1670793231654,110,Put Request,200,OK,Endurance Test 1-23,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793231764,109,Post Request,200,OK,Endurance Test 1-23,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793232622,483,Gets all users,200,OK,Endurance Test 1-24,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,483,0,371
1670793233106,108,Delete Request,200,OK,Endurance Test 1-24,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793233214,110,Get by ID Request,200,OK,Endurance Test 1-24,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793233324,110,Put Request,200,OK,Endurance Test 1-24,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793233434,109,Post Request,200,OK,Endurance Test 1-24,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793234622,483,Gets all users,200,OK,Endurance Test 1-25,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,483,0,374
1670793235106,109,Delete Request,200,OK,Endurance Test 1-25,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793235215,115,Get by ID Request,200,OK,Endurance Test 1-25,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,115,0,0
1670793235364,110,Put Request,200,OK,Endurance Test 1-25,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793235476,117,Post Request,200,OK,Endurance Test 1-25,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,117,0,0
1670793236639,486,Gets all users,200,OK,Endurance Test 1-26,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,486,0,373
1670793237125,109,Delete Request,200,OK,Endurance Test 1-26,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793237235,114,Get by ID Request,200,OK,Endurance Test 1-26,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793237360,111,Put Request,200,OK,Endurance Test 1-26,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793237471,112,Post Request,200,OK,Endurance Test 1-26,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,112,0,0
1670793238648,479,Gets all users,200,OK,Endurance Test 1-27,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,479,0,361
1670793239127,108,Delete Request,200,OK,Endurance Test 1-27,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793239235,107,Get by ID Request,200,OK,Endurance Test 1-27,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,107,0,0
1670793239342,109,Put Request,200,OK,Endurance Test 1-27,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793239451,110,Post Request,200,OK,Endurance Test 1-27,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793240638,484,Gets all users,200,OK,Endurance Test 1-28,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,484,0,365
1670793241122,111,Delete Request,200,OK,Endurance Test 1-28,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793241233,110,Get by ID Request,200,OK,Endurance Test 1-28,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793241343,111,Put Request,200,OK,Endurance Test 1-28,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793241454,109,Post Request,200,OK,Endurance Test 1-28,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793242621,496,Gets all users,200,OK,Endurance Test 1-29,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,496,0,378
1670793243117,111,Delete Request,200,OK,Endurance Test 1-29,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793243228,113,Get by ID Request,200,OK,Endurance Test 1-29,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,113,0,0
1670793243341,150,Put Request,200,OK,Endurance Test 1-29,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,150,0,0
1670793243491,110,Post Request,200,OK,Endurance Test 1-29,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793244635,509,Gets all users,200,OK,Endurance Test 1-30,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,509,0,390
1670793245145,111,Delete Request,200,OK,Endurance Test 1-30,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793245256,112,Get by ID Request,200,OK,Endurance Test 1-30,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793245368,112,Put Request,200,OK,Endurance Test 1-30,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793245495,111,Post Request,200,OK,Endurance Test 1-30,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,111,0,0
